#imageName, isWithoutDysgraphia,diffAngle, performanceTime 
a_0_[3].png,0,4.05,2.502
a_0_[4].png,0,20.49,2.08
whose_1_[0].png,1,0,0.462
whose_1_[1].png,1,0,1.175
whose_1_[2].png,1,0,1.155
whose_1_[3].png,1,0,0.653
whose_1_[4].png,1,0,0.847
whose_0_[0].png,0,1.684,1.868
whose_0_[1].png,0,8.343,2.493
whose_0_[2].png,0,16.116,2.188
whose_0_[3].png,0,2.787,2.177
whose_0_[4].png,0,3.349,1.898
documents_1_[0].png,1,0,0.462
documents_1_[1].png,1,0,1.175
documents_1_[2].png,1,0,1.155
documents_1_[3].png,1,0,0.653
documents_1_[4].png,1,0,0.847
documents_0_[0].png,0,2.89,1.868
documents_0_[1].png,0,0.431,2.493
documents_0_[2].png,0,2.466,2.188
documents_0_[3].png,0,0.662,2.177
documents_0_[4].png,0,1.574,1.898
making_1_[0].png,1,0,1.635
making_1_[1].png,1,0,1.022
making_1_[2].png,1,0,1.142
making_1_[3].png,1,0,0.419
making_1_[4].png,1,0,1.842
making_0_[0].png,0,9.663,2.639
making_0_[1].png,0,8.056,1.267
making_0_[2].png,0,9.72,2.467
making_0_[3].png,0,1.81,2.502
making_0_[4].png,0,8.464,2.08
in_1_[0].png,1,0,0.462
in_1_[1].png,1,0,1.175
in_1_[2].png,1,0,1.155
in_1_[3].png,1,0,0.653
in_1_[4].png,1,0,0.847
in_0_[0].png,0,5.153,1.868
in_0_[1].png,0,2.663,2.493
in_0_[2].png,0,7.947,2.188
in_0_[3].png,0,27.004,2.177
in_0_[4].png,0,10.159,1.898
coverage_1_[0].png,1,0,1.74
coverage_1_[1].png,1,0,1.442
coverage_1_[2].png,1,0,1.423
coverage_1_[3].png,1,0,0.623
coverage_1_[4].png,1,0,0.74
coverage_0_[0].png,0,5.451,1.628
coverage_0_[1].png,0,5.088,2.21
coverage_0_[2].png,0,3.085,2.624
coverage_0_[3].png,0,11.011,1.63
coverage_0_[4].png,0,2.148,2.154
picture_1_[0].png,1,0,0.462
picture_1_[1].png,1,0,1.175
picture_1_[2].png,1,0,1.155
picture_1_[3].png,1,0,0.653
picture_1_[4].png,1,0,0.847
picture_0_[0].png,0,0.098,1.868
picture_0_[1].png,0,2.94,2.493
picture_0_[2].png,0,4.818,2.188
picture_0_[3].png,0,4.385,2.177
picture_0_[4].png,0,3.015,1.898
communication_1_[0].png,1,0,1.74
communication_1_[1].png,1,0,1.442
communication_1_[2].png,1,0,1.423
communication_1_[3].png,1,0,0.623
communication_1_[4].png,1,0,0.74
communication_0_[0].png,0,3.131,1.628
communication_0_[1].png,0,1.763,2.21
communication_0_[2].png,0,1.9,2.624
communication_0_[3].png,0,4.827,1.63
communication_0_[4].png,0,6.635,2.154
for_1_[0].png,1,0,1.74
for_1_[1].png,1,0,1.442
for_1_[2].png,1,0,1.423
for_1_[3].png,1,0,0.623
for_1_[4].png,1,0,0.74
for_0_[0].png,0,1.345,1.628
for_0_[1].png,0,1.901,2.21
for_0_[2].png,0,2.034,2.624
for_0_[3].png,0,12.079,1.63
for_0_[4].png,0,8.604,2.154
couple_1_[0].png,1,0,1.334
couple_1_[1].png,1,0,1.368
couple_1_[2].png,1,0,1.632
couple_1_[3].png,1,0,1.356
couple_1_[4].png,1,0,0.266
couple_0_[0].png,0,2.048,1.888
couple_0_[1].png,0,12.636,2.853
couple_0_[2].png,0,9.92,3.032
couple_0_[3].png,0,3.479,3.014
couple_0_[4].png,0,9.375,2.353
needs_1_[0].png,1,0,1.74
needs_1_[1].png,1,0,1.442
needs_1_[2].png,1,0,1.423
needs_1_[3].png,1,0,0.623
needs_1_[4].png,1,0,0.74
needs_0_[0].png,0,0.822,1.628
needs_0_[1].png,0,7.809,2.21
needs_0_[2].png,0,14.316,2.624
needs_0_[3].png,0,15.184,1.63
needs_0_[4].png,0,1.337,2.154
is_1_[0].png,1,0,1.334
is_1_[1].png,1,0,1.368
is_1_[2].png,1,0,1.632
is_1_[3].png,1,0,1.356
is_1_[4].png,1,0,0.266
is_0_[0].png,0,27.711,1.888
is_0_[1].png,0,4.586,2.853
is_0_[2].png,0,16.543,3.032
is_0_[3].png,0,11.374,3.014
is_0_[4].png,0,28.383,2.353
purpose_1_[0].png,1,0,1.334
purpose_1_[1].png,1,0,1.368
purpose_1_[2].png,1,0,1.632
purpose_1_[3].png,1,0,1.356
purpose_1_[4].png,1,0,0.266
purpose_0_[0].png,0,6.015,1.888
purpose_0_[1].png,0,8.096,2.853
purpose_0_[2].png,0,0.195,3.032
purpose_0_[3].png,0,2.541,3.014
purpose_0_[4].png,0,2.248,2.353
giving_1_[0].png,1,0,0.958
giving_1_[1].png,1,0,0.79
giving_1_[2].png,1,0,0.698
giving_1_[3].png,1,0,1.044
giving_1_[4].png,1,0,0.851
giving_0_[0].png,0,1.127,2.047
giving_0_[1].png,0,11.824,2.167
giving_0_[2].png,0,3.409,2.969
giving_0_[3].png,0,9.567,1.698
giving_0_[4].png,0,7.321,2.977
on_1_[0].png,1,0,0.958
on_1_[1].png,1,0,0.79
on_1_[2].png,1,0,0.698
on_1_[3].png,1,0,1.044
on_1_[4].png,1,0,0.851
on_0_[0].png,0,5.746,2.047
on_0_[1].png,0,3.252,2.167
on_0_[2].png,0,3.968,2.969
on_0_[3].png,0,34.53,1.698
on_0_[4].png,0,1.685,2.977
possible_1_[0].png,1,0,1.334
possible_1_[1].png,1,0,1.368
possible_1_[2].png,1,0,1.632
possible_1_[3].png,1,0,1.356
possible_1_[4].png,1,0,0.266
possible_0_[0].png,0,2.893,1.888
possible_0_[1].png,0,1.238,2.853
possible_0_[2].png,0,1.213,3.032
possible_0_[3].png,0,4.024,3.014
possible_0_[4].png,0,1.747,2.353
feature_1_[0].png,1,0,0.958
feature_1_[1].png,1,0,0.79
feature_1_[2].png,1,0,0.698
feature_1_[3].png,1,0,1.044
feature_1_[4].png,1,0,0.851
feature_0_[0].png,0,9.515,2.047
feature_0_[1].png,0,7.255,2.167
feature_0_[2].png,0,10.913,2.969
feature_0_[3].png,0,4.055,1.698
feature_0_[4].png,0,0.689,2.977
chance_1_[0].png,1,0,1.684
chance_1_[1].png,1,0,1.771
chance_1_[2].png,1,0,0.419
chance_1_[3].png,1,0,1.714
chance_1_[4].png,1,0,2.081
chance_0_[0].png,0,1.0,2.832
chance_0_[1].png,0,3.398,2.752
chance_0_[2].png,0,3.195,2.378
chance_0_[3].png,0,1.767,2.242
chance_0_[4].png,0,0.722,2.464
that_1_[0].png,1,0,1.684
that_1_[1].png,1,0,1.771
that_1_[2].png,1,0,0.419
that_1_[3].png,1,0,1.714
that_1_[4].png,1,0,2.081
that_0_[0].png,0,2.136,2.832
that_0_[1].png,0,8.574,2.752
that_0_[2].png,0,10.372,2.378
that_0_[3].png,0,5.377,2.242
that_0_[4].png,0,12.635,2.464
bed_1_[0].png,1,0,1.684
bed_1_[1].png,1,0,1.771
bed_1_[2].png,1,0,0.419
bed_1_[3].png,1,0,1.714
bed_1_[4].png,1,0,2.081
bed_0_[0].png,0,0.765,2.832
bed_0_[1].png,0,0.301,2.752
bed_0_[2].png,0,13.868,2.378
bed_0_[3].png,0,2.144,2.242
bed_0_[4].png,0,13.558,2.464
might_1_[0].png,1,0,0.958
might_1_[1].png,1,0,0.79
might_1_[2].png,1,0,0.698
might_1_[3].png,1,0,1.044
might_1_[4].png,1,0,0.851
might_0_[0].png,0,5.211,2.047
might_0_[1].png,0,36.42,2.167
might_0_[2].png,0,8.199,2.969
might_0_[3].png,0,0.029,1.698
might_0_[4].png,0,4.339,2.977
vision_1_[0].png,1,0,1.043
vision_1_[1].png,1,0,0.644
vision_1_[2].png,1,0,0.28
vision_1_[3].png,1,0,1.3
vision_1_[4].png,1,0,1.011
vision_0_[0].png,0,1.686,2.457
vision_0_[1].png,0,5.967,1.569
vision_0_[2].png,0,5.883,2.523
vision_0_[3].png,0,20.461,1.803
vision_0_[4].png,0,2.502,2.392
by_1_[0].png,1,0,1.043
by_1_[1].png,1,0,0.644
by_1_[2].png,1,0,0.28
by_1_[3].png,1,0,1.3
by_1_[4].png,1,0,1.011
by_0_[0].png,0,4.865,2.457
by_0_[1].png,0,7.879,1.569
by_0_[2].png,0,17.278,2.523
by_0_[3].png,0,13.599,1.803
by_0_[4].png,0,17.113,2.392
comes_1_[0].png,1,0,1.043
comes_1_[1].png,1,0,0.644
comes_1_[2].png,1,0,0.28
comes_1_[3].png,1,0,1.3
comes_1_[4].png,1,0,1.011
comes_0_[0].png,0,2.559,2.457
comes_0_[1].png,0,0.911,1.569
comes_0_[2].png,0,8.204,2.523
comes_0_[3].png,0,4.893,1.803
comes_0_[4].png,0,2.099,2.392
professional_1_[0].png,1,0,1.684
professional_1_[1].png,1,0,1.771
professional_1_[2].png,1,0,0.419
professional_1_[3].png,1,0,1.714
professional_1_[4].png,1,0,2.081
professional_0_[0].png,0,1.074,2.832
professional_0_[1].png,0,1.085,2.752
professional_0_[2].png,0,5.794,2.378
professional_0_[3].png,0,3.716,2.242
professional_0_[4].png,0,1.733,2.464
ball_1_[0].png,1,0,2.059
ball_1_[1].png,1,0,0.454
ball_1_[2].png,1,0,0.546
ball_1_[3].png,1,0,0.605
ball_1_[4].png,1,0,0.69
ball_0_[0].png,0,3.648,2.909
ball_0_[1].png,0,4.966,2.768
ball_0_[2].png,0,0.868,2.47
ball_0_[3].png,0,1.397,1.689
ball_0_[4].png,0,1.956,1.575
police_1_[0].png,1,0,2.059
police_1_[1].png,1,0,0.454
police_1_[2].png,1,0,0.546
police_1_[3].png,1,0,0.605
police_1_[4].png,1,0,0.69
police_0_[0].png,0,0.97,2.909
police_0_[1].png,0,6.137,2.768
police_0_[2].png,0,1.219,2.47
police_0_[3].png,0,1.741,1.689
police_0_[4].png,0,10.765,1.575
this_1_[0].png,1,0,2.059
this_1_[1].png,1,0,0.454
this_1_[2].png,1,0,0.546
this_1_[3].png,1,0,0.605
this_1_[4].png,1,0,0.69
this_0_[0].png,0,8.853,2.909
this_0_[1].png,0,14.47,2.768
this_0_[2].png,0,9.958,2.47
this_0_[3].png,0,2.64,1.689
this_0_[4].png,0,3.965,1.575
ending_1_[0].png,1,0,0.91
ending_1_[1].png,1,0,0.895
ending_1_[2].png,1,0,1.713
ending_1_[3].png,1,0,1.716
ending_1_[4].png,1,0,0.817
ending_0_[0].png,0,19.81,2.55
ending_0_[1].png,0,2.217,2.853
ending_0_[2].png,0,0.551,2.429
ending_0_[3].png,0,1.74,2.609
ending_0_[4].png,0,17.576,2.815
yet_1_[0].png,1,0,1.043
yet_1_[1].png,1,0,0.644
yet_1_[2].png,1,0,0.28
yet_1_[3].png,1,0,1.3
yet_1_[4].png,1,0,1.011
yet_0_[0].png,0,17.275,2.457
yet_0_[1].png,0,15.013,1.569
yet_0_[2].png,0,23.586,2.523
yet_0_[3].png,0,24.467,1.803
yet_0_[4].png,0,2.299,2.392
everyone_1_[0].png,1,0,0.91
everyone_1_[1].png,1,0,0.895
everyone_1_[2].png,1,0,1.713
everyone_1_[3].png,1,0,1.716
everyone_1_[4].png,1,0,0.817
everyone_0_[0].png,0,1.383,2.55
everyone_0_[1].png,0,5.607,2.853
everyone_0_[2].png,0,5.435,2.429
everyone_0_[3].png,0,5.783,2.609
everyone_0_[4].png,0,0.793,2.815
with_1_[0].png,1,0,0.91
with_1_[1].png,1,0,0.895
with_1_[2].png,1,0,1.713
with_1_[3].png,1,0,1.716
with_1_[4].png,1,0,0.817
with_0_[0].png,0,2.88,2.55
with_0_[1].png,0,0.856,2.853
with_0_[2].png,0,16.46,2.429
with_0_[3].png,0,9.067,2.609
with_0_[4].png,0,35.236,2.815
clients_1_[0].png,1,0,0.677
clients_1_[1].png,1,0,1.496
clients_1_[2].png,1,0,0.381
clients_1_[3].png,1,0,4.268
clients_1_[4].png,1,0,0.984
clients_0_[0].png,0,4.321,1.732
clients_0_[1].png,0,2.152,1.736
clients_0_[2].png,0,2.744,2.953
clients_0_[3].png,0,9.603,2.209
clients_0_[4].png,0,3.221,2.627
month_1_[0].png,1,0,2.059
month_1_[1].png,1,0,0.454
month_1_[2].png,1,0,0.546
month_1_[3].png,1,0,0.605
month_1_[4].png,1,0,0.69
month_0_[0].png,0,7.08,2.909
month_0_[1].png,0,3.579,2.768
month_0_[2].png,0,3.266,2.47
month_0_[3].png,0,2.168,1.689
month_0_[4].png,0,0.735,1.575
independent_1_[0].png,1,0,0.677
independent_1_[1].png,1,0,1.496
independent_1_[2].png,1,0,0.381
independent_1_[3].png,1,0,4.268
independent_1_[4].png,1,0,0.984
independent_0_[0].png,0,3.965,1.732
independent_0_[1].png,0,2.532,1.736
independent_0_[2].png,0,1.978,2.953
independent_0_[3].png,0,0.408,2.209
independent_0_[4].png,0,3.815,2.627
i_1_[0].png,1,0,0.677
i_1_[1].png,1,0,1.496
i_1_[2].png,1,0,0.381
i_1_[3].png,1,0,4.268
i_1_[4].png,1,0,0.984
i_0_[0].png,0,5.383,1.732
i_0_[1].png,0,54.716,1.736
i_0_[2].png,0,3.319,2.953
i_0_[3].png,0,17.462,2.209
i_0_[4].png,0,21.341,2.627
actions_1_[0].png,1,0,1.753
actions_1_[1].png,1,0,0.718
actions_1_[2].png,1,0,0.681
actions_1_[3].png,1,0,1.211
actions_1_[4].png,1,0,0.469
actions_0_[0].png,0,5.554,2.517
actions_0_[1].png,0,0.218,2.357
actions_0_[2].png,0,13.438,1.983
actions_0_[3].png,0,0.813,2.363
actions_0_[4].png,0,3.842,2.588
ip_1_[0].png,1,0,1.753
ip_1_[1].png,1,0,0.718
ip_1_[2].png,1,0,0.681
ip_1_[3].png,1,0,1.211
ip_1_[4].png,1,0,0.469
ip_0_[0].png,0,7.1,2.517
ip_0_[1].png,0,0.491,2.357
ip_0_[2].png,0,32.943,1.983
ip_0_[3].png,0,10.194,2.363
ip_0_[4].png,0,26.381,2.588
major_1_[0].png,1,0,0.91
major_1_[1].png,1,0,0.895
major_1_[2].png,1,0,1.713
major_1_[3].png,1,0,1.716
major_1_[4].png,1,0,0.817
major_0_[0].png,0,5.286,2.55
major_0_[1].png,0,0.054,2.853
major_0_[2].png,0,6.736,2.429
major_0_[3].png,0,9.734,2.609
major_0_[4].png,0,7.994,2.815
you_1_[0].png,1,0,1.753
you_1_[1].png,1,0,0.718
you_1_[2].png,1,0,0.681
you_1_[3].png,1,0,1.211
you_1_[4].png,1,0,0.469
you_0_[0].png,0,0.936,2.517
you_0_[1].png,0,4.303,2.357
you_0_[2].png,0,19.592,1.983
you_0_[3].png,0,1.383,2.363
you_0_[4].png,0,9.177,2.588
listen_1_[0].png,1,0,0.981
listen_1_[1].png,1,0,1.738
listen_1_[2].png,1,0,0.467
listen_1_[3].png,1,0,1.222
listen_1_[4].png,1,0,1.15
listen_0_[0].png,0,1.15,2.263
listen_0_[1].png,0,19.049,2.668
listen_0_[2].png,0,6.513,2.106
listen_0_[3].png,0,6.939,2.227
listen_0_[4].png,0,3.633,2.53
star_1_[0].png,1,0,0.677
star_1_[1].png,1,0,1.496
star_1_[2].png,1,0,0.381
star_1_[3].png,1,0,4.268
star_1_[4].png,1,0,0.984
star_0_[0].png,0,5.76,1.732
star_0_[1].png,0,4.536,1.736
star_0_[2].png,0,6.117,2.953
star_0_[3].png,0,5.111,2.209
star_0_[4].png,0,2.677,2.627
approach_1_[0].png,1,0,0.981
approach_1_[1].png,1,0,1.738
approach_1_[2].png,1,0,0.467
approach_1_[3].png,1,0,1.222
approach_1_[4].png,1,0,1.15
approach_0_[0].png,0,4.9,2.263
approach_0_[1].png,0,2.663,2.668
approach_0_[2].png,0,3.06,2.106
approach_0_[3].png,0,2.665,2.227
approach_0_[4].png,0,3.607,2.53
it_1_[0].png,1,0,0.981
it_1_[1].png,1,0,1.738
it_1_[2].png,1,0,0.467
it_1_[3].png,1,0,1.222
it_1_[4].png,1,0,1.15
it_0_[0].png,0,22.886,2.263
it_0_[1].png,0,9.712,2.668
it_0_[2].png,0,18.534,2.106
it_0_[3].png,0,3.914,2.227
it_0_[4].png,0,24.612,2.53
discuss_1_[0].png,1,0,2.353
discuss_1_[1].png,1,0,0.702
discuss_1_[2].png,1,0,0.999
discuss_1_[3].png,1,0,0.449
discuss_1_[4].png,1,0,1.495
discuss_0_[0].png,0,5.895,1.873
discuss_0_[1].png,0,4.85,2.67
discuss_0_[2].png,0,1.55,1.796
discuss_0_[3].png,0,5.651,2.012
discuss_0_[4].png,0,3.248,2.442
areas_1_[0].png,1,0,1.753
areas_1_[1].png,1,0,0.718
areas_1_[2].png,1,0,0.681
areas_1_[3].png,1,0,1.211
areas_1_[4].png,1,0,0.469
areas_0_[0].png,0,3.205,2.517
areas_0_[1].png,0,4.394,2.357
areas_0_[2].png,0,2.829,1.983
areas_0_[3].png,0,8.802,2.363
areas_0_[4].png,0,2.414,2.588
cameras_1_[0].png,1,0,2.353
cameras_1_[1].png,1,0,0.702
cameras_1_[2].png,1,0,0.999
cameras_1_[3].png,1,0,0.449
cameras_1_[4].png,1,0,1.495
cameras_0_[0].png,0,1.938,1.873
cameras_0_[1].png,0,1.299,2.67
cameras_0_[2].png,0,8.521,1.796
cameras_0_[3].png,0,0.077,2.012
cameras_0_[4].png,0,4.337,2.442
not_1_[0].png,1,0,2.353
not_1_[1].png,1,0,0.702
not_1_[2].png,1,0,0.999
not_1_[3].png,1,0,0.449
not_1_[4].png,1,0,1.495
not_0_[0].png,0,3.389,1.873
not_0_[1].png,0,12.844,2.67
not_0_[2].png,0,2.291,1.796
not_0_[3].png,0,11.47,2.012
not_0_[4].png,0,21.233,2.442
accept_1_[0].png,1,0,1.021
accept_1_[1].png,1,0,1.233
accept_1_[2].png,1,0,1.295
accept_1_[3].png,1,0,0.479
accept_1_[4].png,1,0,1.168
accept_0_[0].png,0,15.042,2.551
accept_0_[1].png,0,3.216,2.413
accept_0_[2].png,0,8.771,3.528
accept_0_[3].png,0,10.389,2.054
accept_0_[4].png,0,9.588,1.768
future_1_[0].png,1,0,0.981
future_1_[1].png,1,0,1.738
future_1_[2].png,1,0,0.467
future_1_[3].png,1,0,1.222
future_1_[4].png,1,0,1.15
future_0_[0].png,0,0.518,2.263
future_0_[1].png,0,2.697,2.668
future_0_[2].png,0,2.674,2.106
future_0_[3].png,0,5.605,2.227
future_0_[4].png,0,11.995,2.53
brown_1_[0].png,1,0,1.021
brown_1_[1].png,1,0,1.233
brown_1_[2].png,1,0,1.295
brown_1_[3].png,1,0,0.479
brown_1_[4].png,1,0,1.168
brown_0_[0].png,0,9.081,2.551
brown_0_[1].png,0,2.867,2.413
brown_0_[2].png,0,5.917,3.528
brown_0_[3].png,0,4.108,2.054
brown_0_[4].png,0,3.955,1.768
or_1_[0].png,1,0,1.021
or_1_[1].png,1,0,1.233
or_1_[2].png,1,0,1.295
or_1_[3].png,1,0,0.479
or_1_[4].png,1,0,1.168
or_0_[0].png,0,3.578,2.551
or_0_[1].png,0,9.084,2.413
or_0_[2].png,0,3.88,3.528
or_0_[3].png,0,1.718,2.054
or_0_[4].png,0,25.641,1.768
automotive_1_[0].png,1,0,2.536
automotive_1_[1].png,1,0,1.363
automotive_1_[2].png,1,0,0.569
automotive_1_[3].png,1,0,0.905
automotive_1_[4].png,1,0,1.167
automotive_0_[0].png,0,2.261,1.556
automotive_0_[1].png,0,10.931,2.111
automotive_0_[2].png,0,5.179,1.434
automotive_0_[3].png,0,1.617,2.737
automotive_0_[4].png,0,3.855,2.143
space_1_[0].png,1,0,2.353
space_1_[1].png,1,0,0.702
space_1_[2].png,1,0,0.999
space_1_[3].png,1,0,0.449
space_1_[4].png,1,0,1.495
space_0_[0].png,0,5.923,1.873
space_0_[1].png,0,10.753,2.67
space_0_[2].png,0,2.851,1.796
space_0_[3].png,0,16.638,2.012
space_0_[4].png,0,5.168,2.442
physical_1_[0].png,1,0,2.536
physical_1_[1].png,1,0,1.363
physical_1_[2].png,1,0,0.569
physical_1_[3].png,1,0,0.905
physical_1_[4].png,1,0,1.167
physical_0_[0].png,0,20.975,1.556
physical_0_[1].png,0,3.242,2.111
physical_0_[2].png,0,1.006,1.434
physical_0_[3].png,0,0.966,2.737
physical_0_[4].png,0,3.045,2.143
be_1_[0].png,1,0,2.536
be_1_[1].png,1,0,1.363
be_1_[2].png,1,0,0.569
be_1_[3].png,1,0,0.905
be_1_[4].png,1,0,1.167
be_0_[0].png,0,3.107,1.556
be_0_[1].png,0,7.632,2.111
be_0_[2].png,0,16.839,1.434
be_0_[3].png,0,21.772,2.737
be_0_[4].png,0,0.101,2.143
committee_1_[0].png,1,0,1.021
committee_1_[1].png,1,0,1.233
committee_1_[2].png,1,0,1.295
